company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/waywire,#waywire,|Entertainment|Politics|Social Media|News|,News,USA,NY,New York City,New York,/organization/magnify,Waywire,|Video|Games|,Video,USA,NY,New York City,New York,2013-10-17T00:00:00,2013-10,2013-Q4,2013,,USD
/organization/red,(RED),|Nonprofits|,Nonprofits,USA,NY,New York City,New York,/organization/nationstar-mortgage-holdings,Nationstar Mortgage Holdings,|Finance|,Finance,USA,TX,Dallas,Lewisville,2014-05-08T00:00:00,2014-05,2014-Q2,2014,"18,000,000",USD
/organization/co-internet,.CO,|Registrars|Domains|Curated Web|,Registrars,USA,FL,Miami,Miami,/organization/neustar,Neustar,|Telecommunications|Analytics|Information Technology|,Analytics,USA,VA,Sterling,Sterling,2014-03-20T00:00:00,2014-03,2014-Q1,2014,"109,000,000",USD
/organization/1000memories,1000memories,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/ancestry-com,Ancestry,|Internet|E-Commerce|,Internet,USA,UT,Salt Lake City,Provo,2012-10-03T00:00:00,2012-10,2012-Q4,2012,,USD
/organization/100plus,100Plus,|Analytics|,Analytics,USA,CA,SF Bay Area,San Francisco,/organization/practice-fusion,Practice Fusion,|Physicians|Electronic Health Records|Health Care|Heathcare|Health and Wellness|,Health and Wellness,USA,CA,SF Bay Area,San Francisco,2013-02-27T00:00:00,2013-02,2013-Q1,2013,,USD
/organization/10best,10best,|Curated Web|,Curated Web,USA,SC,"Greenville, NC",Greenville,/organization/nile-guide,NileGuide,|Career Planning|Travel|Social Media|,Career Planning,USA,CA,SF Bay Area,San Francisco,2011-01-25T00:00:00,2011-01,2011-Q1,2011,,USD
/organization/10east,10East,|Web Hosting|,Web Hosting,USA,FL,Jacksonville,Jacksonville,/organization/railcar-management,Railcar Management,|Enterprise Software|,Enterprise Software,,,,,2009-04-14T00:00:00,2009-04,2009-Q2,2009,,USD
/organization/12society,12Society,|E-Commerce|,E-Commerce,USA,CA,Los Angeles,West Hollywood,/organization/quarterly,Quarterly,|E-Commerce|Gift Card|Curated Web|,E-Commerce,USA,CA,Los Angeles,West Hollywood,2013-07-03T00:00:00,2013-07,2013-Q3,2013,,USD
/organization/170-systems,170 Systems,|Software|,Software,USA,MA,Boston,Bedford,/organization/kofax,Kofax,|Software|,Software,USA,CA,Anaheim,Irvine,2009-09-08T00:00:00,2009-09,2009-Q3,2009,"43,000,000",USD
/organization/1st-choice-security-solutions,1st Choice Security Solutions,|Security|,Security,USA,GA,Atlanta,Atlanta,/organization/comcam,ComCam,,,USA,PA,Cincinnati,West Chester,2011-04-13T00:00:00,2011-04,2011-Q2,2011,,USD
/organization/21st-century-infra-tele,21st Century Infra Tele,|Public Relations|,Public Relations,USA,IN,Indiana,,/organization/wireless-tt-info-services,Wireless TT Info Services,|Public Relations|,Public Relations,IND,,Hyderabad,Hyderabad,2010-04-06T00:00:00,2010-04,2010-Q2,2010,,USD
